"vehicle_local_position_groundtruth->x_x","vehicle_local_position_groundtruth->x_y","vehicle_local_position_groundtruth->vx_x","vehicle_local_position_groundtruth->vx_y"
1535.708,5.003771782,1535.708,0,
1535.808,5.003771782,1535.808,0,
1535.908,5.003771782,1535.908,0,
1536.008,5.003771782,1536.008,0,
1536.108,4.992652416,1536.108,0,
1536.208,4.992652416,1536.208,0,
1536.308,4.992652416,1536.308,0,
1536.408,4.992652416,1536.408,0,
1536.508,4.992652416,1536.508,0,
1536.608,4.992652416,1536.608,0,
1536.708,4.992652416,1536.708,-0.009999999776,
1536.808,4.992652416,1536.808,-0.009999999776,
1536.908,4.992652416,1536.908,-0.009999999776,
1537.008,4.992652416,1537.008,-0.009999999776,
1537.108,4.992652416,1537.108,-0.009999999776,
1537.208,4.981532574,1537.208,-0.009999999776,
1537.308,4.981532574,1537.308,-0.01999999955,
1537.408,4.981532574,1537.408,-0.01999999955,
1537.508,4.981532574,1537.508,-0.01999999955,
1537.608,4.970413208,1537.608,-0.02999999933,
1537.708,4.970413208,1537.708,-0.02999999933,
1537.808,4.970413208,1537.808,-0.02999999933,
1537.908,4.959293842,1537.908,-0.02999999933,
1538.008,4.959293842,1538.008,-0.02999999933,
1538.108,4.959293842,1538.108,-0.02999999933,
1538.208,4.959293842,1538.208,-0.01999999955,
1538.308,4.948174,1538.308,-0.01999999955,
1538.408,4.948174,1538.408,-0.009999999776,
1538.508,4.948174,1538.508,-0.009999999776,
1538.608,4.948174,1538.608,0,
1538.708,4.948174,1538.708,0,
1538.808,4.948174,1538.808,0,
1538.908,4.948174,1538.908,0,
1539.008,4.948174,1539.008,0,
1539.108,4.948174,1539.108,0,
1539.208,4.948174,1539.208,0,
1539.308,4.937054634,1539.308,0,
1539.408,4.937054634,1539.408,0,
1539.508,4.937054634,1539.508,0,
1539.608,4.937054634,1539.608,0,
1539.708,4.937054634,1539.708,0,
1539.808,4.937054634,1539.808,-0.009999999776,
1539.908,4.937054634,1539.908,-0.009999999776,
1540.008,4.937054634,1540.008,-0.009999999776,
1540.108,4.937054634,1540.108,-0.009999999776,
1540.208,4.937054634,1540.208,-0.009999999776,
1540.308,4.925935268,1540.308,-0.009999999776,
1540.408,4.925935268,1540.408,-0.009999999776,
1540.508,4.925935268,1540.508,-0.009999999776,
1540.608,4.925935268,1540.608,-0.009999999776,
1540.708,4.925935268,1540.708,-0.009999999776,
1540.808,4.925935268,1540.808,-0.009999999776,
1540.908,4.925935268,1540.908,0,
1541.008,4.925935268,1541.008,0,
1541.108,4.925935268,1541.108,0,
1541.208,4.925935268,1541.208,0,
1541.308,4.925935268,1541.308,0,
1541.408,4.925935268,1541.408,0,
1541.508,4.914815903,1541.508,-0.01999999955,
1541.608,4.914815903,1541.608,0,
1541.708,4.914815903,1541.708,0,
1541.808,4.914815903,1541.808,0,
1541.908,4.914815903,1541.908,0,
1542.008,4.914815903,1542.008,0,
1542.108,4.914815903,1542.108,0,
1542.204,4.914815903,1542.204,0,
1542.308,4.914815903,1542.308,0,
1542.408,4.914815903,1542.408,0,
1542.508,4.914815903,1542.508,0,
1542.608,4.914815903,1542.608,0,
1542.708,4.914815903,1542.708,0,
1542.808,4.914815903,1542.808,0,
1542.908,4.914815903,1542.908,0,
1543.008,4.914815903,1543.008,0,
1543.108,4.914815903,1543.108,0,
1543.204,4.914815903,1543.204,0,
1543.308,4.914815903,1543.308,0,
1543.408,4.914815903,1543.408,0,
1543.508,4.914815903,1543.508,0,
1543.608,4.914815903,1543.608,0,
1543.708,4.914815903,1543.708,0,
1543.808,4.914815903,1543.808,0,
1543.908,4.914815903,1543.908,0,
1544.008,4.914815903,1544.008,0,
1544.108,4.914815903,1544.108,0,
1544.208,4.914815903,1544.208,0,
1544.308,4.914815903,1544.308,0,
1544.408,4.914815903,1544.408,0,
1544.508,4.914815903,1544.508,0,
1544.608,4.914815903,1544.608,0,
1544.708,4.914815903,1544.708,0,
1544.808,4.914815903,1544.808,0,
1544.908,4.914815903,1544.908,0,
1545.008,4.914815903,1545.008,0,
1545.108,4.914815903,1545.108,0,
1545.208,4.914815903,1545.208,0,
1545.308,4.914815903,1545.308,0,
1545.408,4.914815903,1545.408,0,
