timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
153785610,-33.9245866945817,18.86639247474635,130.13968,159.06926,-0.0,0.9837842,1.6879919,0.0,2,0,0,0
154785645,-33.92459760204292,18.86639317436136,130.17139,159.00124,-0.0,0.9835847,1.6875628,0.0,2,0,0,0
155785680,-33.92460864422561,18.866393322737817,130.23138,158.96867,-0.0,0.98302895,1.6871343,0.0,2,0,0,0
156785714,-33.92461973248167,18.866393730948,130.26186,158.90004,-0.0,0.9825609,1.6876514,0.0,2,0,0,0
157785777,-33.924630200410014,18.866392930936644,130.3068,158.84547,-0.0,0.98250055,1.6872234,0.0,2,0,0,0
158775827,-33.9246408021677,18.866391911970673,130.21295,158.65152,-0.0,0.9824409,1.6875708,0.0,2,0,0,0
159785812,-33.92465133641057,18.866390472031032,130.14772,158.4859,-0.0,0.9824226,1.687318,0.0,2,0,0,0
160785844,-33.92466209535988,18.866390079731374,130.09915,158.34047,-0.0,0.98210394,1.6878346,0.0,2,0,0,0
161785875,-33.92467315526217,18.86638940359241,130.08961,158.24695,-0.0,0.98168635,1.6874065,0.0,2,0,0,0
162775906,-33.92468439149949,18.866388370305206,129.9509,158.05334,-0.0,0.9811766,1.6877514,0.0,2,0,0,0
163785937,-33.92469559404761,18.866388075056147,129.91292,158.00378,-0.0,0.9813014,1.6874962,0.0,2,0,0,0
164785969,-33.92470636117875,18.866388262140624,129.95915,158.07239,-0.0,0.9812288,1.6880174,0.0,2,0,0,0
165775997,-33.92471662863742,18.86638798027617,129.9904,158.13792,-0.0,0.9810684,1.6874205,0.0,2,0,0,0
166786152,-33.924727864325384,18.866388051555322,130.02539,158.22803,-0.0,0.9812027,1.687167,0.0,2,0,0,0
167786181,-33.9247389676334,18.866388437485945,130.1291,158.39143,-0.0,0.9812432,1.6876882,0.0,2,0,0,0
168786214,-33.924750299747906,18.86638887422907,130.31703,158.64566,-0.0,0.9811665,1.6872616,0.0,2,0,0,0
169776239,-33.924760896770664,18.86638937179466,130.45036,158.82515,-0.0,0.9810255,1.6876078,0.0,2,0,0,0
170786267,-33.924771571368844,18.866389620110464,130.37059,158.77284,-0.0,0.9810525,1.6873504,0.0,2,0,0,0
171786296,-33.924782385422674,18.86638953022909,130.28403,158.70377,-0.0,0.98094344,1.6878707,0.0,2,0,0,0
172776320,-33.92479270717991,18.866388965088092,130.24359,158.6687,-0.0,0.98056024,1.6872698,0.0,2,0,0,0
173786357,-33.92480273382081,18.866388022611705,130.36504,158.76651,-0.0,0.98076355,1.6879526,0.0,2,0,0,0
174786370,-33.92481269677168,18.86638757469715,130.48846,158.82446,-0.0,0.9809247,1.6875237,0.0,2,0,0,0
175786394,-33.924812745966925,18.866387887457467,130.25066,158.4869,-0.0,0.98109144,1.6871003,0.0,2,0,0,0
176776418,-33.924802772261,18.866388338250587,129.8709,158.01352,-0.0,0.98098165,1.6874454,0.0,2,0,0,0
177786441,-33.92478945531948,18.866388903327916,129.82837,157.91808,-0.0,0.9811478,1.6871856,0.0,2,0,0,0
178786465,-33.92477645560515,18.86638891543923,129.9353,157.99792,-0.0,0.9811486,1.6876988,0.0,2,0,0,0
179776488,-33.92476402391864,18.866389741151984,130.05862,158.10454,-0.0,0.9809375,1.6871071,0.0,2,0,0,0
180776511,-33.92475272734518,18.866390210238713,130.17412,158.21179,-0.0,0.98086286,1.6876241,0.0,2,0,0,0
181786535,-33.92474203025022,18.86639077623179,130.18413,158.22179,-0.0,0.98080355,1.6873608,0.0,2,0,0,0
182786574,-33.92473152527957,18.86639156985673,130.16829,158.22552,-0.0,0.98044944,1.6878749,0.0,2,0,0,0
183776582,-33.92472092216675,18.86639268396243,130.10417,158.19733,-0.0,0.97981954,1.6872779,0.0,2,0,0,0
184786605,-33.9247101671282,18.866393426340416,130.10677,158.26175,-0.0,0.9797098,1.6879666,0.0,2,0,0,0
185786629,-33.92471003422504,18.866393806972212,130.03047,158.26085,-0.0,0.9796456,1.6875389,0.0,2,0,0,0
186776652,-33.92471981556209,18.866393508911436,129.95583,158.27458,-0.0,0.9793675,1.6878809,0.0,2,0,0,0
187776716,-33.9247340258465,18.866392933075982,129.99152,158.408,-0.0,0.97941834,1.6874529,0.0,2,0,0,0
188786699,-33.92474676420633,18.86639244949426,130.12209,158.63132,-0.0,0.9798061,1.6871991,0.0,2,0,0,0
189786721,-33.92475951054265,18.8663914115666,130.23196,158.82234,-0.0,0.979856,1.6877165,0.0,2,0,0,0
190776743,-33.924770127429476,18.86639028694326,130.21207,158.86755,-0.0,0.9796505,1.6871188,0.0,2,0,0,0
191786764,-33.924781814684614,18.866388797662527,130.18779,158.9035,-0.0,0.9798108,1.6878021,0.0,2,0,0,0
192786785,-33.9247925566438,18.86638810630234,130.24176,159.00534,-0.0,0.9796156,1.6873769,0.0,2,0,0,0
193776820,-33.924803822710345,18.86638748154816,130.273,159.06087,-0.0,0.9794133,1.6877257,0.0,2,0,0,0
194776875,-33.92481461308446,18.866386696299617,130.18578,158.98274,-0.0,0.97963774,1.6873004,0.0,2,0,0,0
195786848,-33.92482567836871,18.86638561411011,130.11142,158.91072,-0.0,0.97991145,1.6879858,0.0,2,0,0,0
196786868,-33.92483699150362,18.866385014384274,130.07283,158.88434,-0.0,0.97974306,1.6875587,0.0,2,0,0,0
197776888,-33.92484787786875,18.866385331445354,130.0437,158.87024,-0.0,0.9794942,1.687911,0.0,2,0,0,0
198776908,-33.92485865293314,18.86638578938768,129.97362,158.8204,-0.0,0.9795187,1.6874838,0.0,2,0,0,0
199786960,-33.92486906971768,18.866386069636608,130.04878,158.92838,-0.0,0.9799449,1.6872243,0.0,2,0,0,0
200776945,-33.92487941825894,18.866385879359715,130.15988,159.08038,-0.0,0.9798413,1.6875712,0.0,2,0,0,0
201776964,-33.92489057469117,18.86638573523917,130.10616,159.08305,-0.0,0.9798392,1.6871499,0.0,2,0,0,0
