timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
270609118,5.231982,3.3531737,1,0,1,0,1,0,0
270619092,5.2335935,3.3273926,1,0,1,0,1,0,0
270629355,5.2368164,3.3290038,1,0,1,0,1,0,0
270638972,5.2368164,3.3322265,1,0,1,0,1,0,0
270649390,5.243262,3.3322265,1,0,1,0,1,0,0
270658963,5.2368164,3.3273926,1,0,1,0,1,0,0
270669363,5.243262,3.325781,1,0,1,0,1,0,0
270678999,5.243262,3.3338377,1,0,1,0,1,0,0
270689401,5.2368164,3.3531737,1,0,1,0,1,0,0
270698992,5.235205,3.3306153,1,0,1,0,1,0,0
270709355,5.2384276,3.325781,1,0,1,0,1,0,0
270719365,5.2335935,3.3290038,1,0,1,0,1,0,0
270729954,5.244873,3.3580077,1,0,1,0,1,0,0
270739365,5.2223144,3.364453,1,0,1,0,1,0,0
270749067,5.190088,3.3547852,1,0,1,0,1,0,0
270759320,5.1691403,3.3322265,1,0,1,0,1,0,0
270769284,5.1643066,3.3322265,1,0,1,0,1,0,0
270779306,5.1643066,3.3435059,1,0,1,0,1,0,0
270789328,5.215869,3.3322265,1,0,1,0,1,0,0
270799118,5.2126465,3.3547852,1,0,1,0,1,0,0
270809603,5.151416,3.3531737,1,0,1,0,1,0,0
270819112,5.153027,3.3580077,1,0,1,0,1,0,0
270829673,5.219092,3.3306153,1,0,1,0,1,0,0
270839059,5.127246,3.3322265,1,0,1,0,1,0,0
270849363,5.230371,3.3290038,1,0,1,0,1,0,0
270859072,5.24165,3.3322265,1,0,1,0,1,0,0
270869426,5.24165,3.3563964,1,0,1,0,1,0,0
270879222,5.2078123,3.3531737,1,0,1,0,1,0,0
270889272,5.2497067,3.3290038,1,0,1,0,1,0,0
270899322,5.219092,3.3338377,1,0,1,0,1,0,0
270909189,5.2384276,3.3290038,1,0,1,0,1,0,0
270919330,5.2384276,3.3290038,1,0,1,0,1,0,0
270929889,5.1643066,3.3322265,1,0,1,0,1,0,0
270939194,5.2464843,3.3580077,1,0,1,0,1,0,0
270949166,5.170752,3.3306153,1,0,1,0,1,0,0
270959195,5.243262,3.3306153,1,0,1,0,1,0,0
270969287,5.2335935,3.3290038,1,0,1,0,1,0,0
270979056,5.240039,3.3306153,1,0,1,0,1,0,0
270989723,5.2142577,3.3306153,1,0,1,0,1,0,0
270999037,5.2335935,3.3322265,1,0,1,0,1,0,0
271009728,5.2368164,3.3306153,1,0,1,0,1,0,0
271019042,5.2078123,3.3290038,1,0,1,0,1,0,0
271029347,5.220703,3.3547852,1,0,1,0,1,0,0
271039057,5.235205,3.3322265,1,0,1,0,1,0,0
271049652,5.240039,3.3306153,1,0,1,0,1,0,0
271059056,5.2335935,3.3306153,1,0,1,0,1,0,0
271069274,5.243262,3.3322265,1,0,1,0,1,0,0
271079312,5.2384276,3.3580077,1,0,1,0,1,0,0
271089143,5.230371,3.3531737,1,0,1,0,1,0,0
271099176,5.2368164,3.3322265,1,0,1,0,1,0,0
271109117,5.24165,3.3306153,1,0,1,0,1,0,0
271119290,5.235205,3.3322265,1,0,1,0,1,0,0
271129796,5.235205,3.3290038,1,0,1,0,1,0,0
271139322,5.2335935,3.3547852,1,0,1,0,1,0,0
271149142,5.231982,3.3322265,1,0,1,0,1,0,0
271159075,5.231982,3.3547852,1,0,1,0,1,0,0
271169672,5.243262,3.3676758,1,0,1,0,1,0,0
271179032,5.231982,3.3322265,1,0,1,0,1,0,0
271189753,5.2368164,3.3306153,1,0,1,0,1,0,0
271199012,5.24165,3.349951,1,0,1,0,1,0,0
271209361,5.2368164,3.3290038,1,0,1,0,1,0,0
271219010,5.2368164,3.3370605,1,0,1,0,1,0,0
271229646,5.235205,3.3306153,1,0,1,0,1,0,0
271239062,5.2335935,3.3290038,1,0,1,0,1,0,0
271249351,5.2126465,3.3290038,1,0,1,0,1,0,0
271259197,5.215869,3.3580077,1,0,1,0,1,0,0
271269399,5.2094235,3.325781,1,0,1,0,1,0,0
271279288,5.220703,3.3322265,1,0,1,0,1,0,0
271289129,5.2464843,3.3580077,1,0,1,0,1,0,0
271299114,5.2335935,3.3322265,1,0,1,0,1,0,0
271309184,5.240039,3.3580077,1,0,1,0,1,0,0
271319141,5.24165,3.3596191,1,0,1,0,1,0,0
271329771,5.244873,3.3338377,1,0,1,0,1,0,0
271339108,5.235205,3.325781,1,0,1,0,1,0,0
271349333,5.235205,3.3322265,1,0,1,0,1,0,0
271359048,5.2335935,3.325781,1,0,1,0,1,0,0
271369314,5.243262,3.3547852,1,0,1,0,1,0,0
271379018,5.243262,3.3322265,1,0,1,0,1,0,0
271389342,5.240039,3.3322265,1,0,1,0,1,0,0
271399066,5.2384276,3.3322265,1,0,1,0,1,0,0
271409341,5.231982,3.3306153,1,0,1,0,1,0,0
271419000,5.2335935,3.3596191,1,0,1,0,1,0,0
271429183,5.2335935,3.3306153,1,0,1,0,1,0,0
271439151,5.24165,3.3580077,1,0,1,0,1,0,0
271449158,5.231982,3.3322265,1,0,1,0,1,0,0
271459174,5.2384276,3.3547852,1,0,1,0,1,0,0
271469159,5.2335935,3.3322265,1,0,1,0,1,0,0
271479166,5.243262,3.3531737,1,0,1,0,1,0,0
271489191,5.220703,3.349951,1,0,1,0,1,0,0
271499136,5.215869,3.3306153,1,0,1,0,1,0,0
271509228,5.21748,3.3563964,1,0,1,0,1,0,0
271519114,5.2126465,3.3628418,1,0,1,0,1,0,0
271530064,5.215869,3.3306153,1,0,1,0,1,0,0
271539082,5.2223144,3.3306153,1,0,1,0,1,0,0
271549330,5.244873,3.3547852,1,0,1,0,1,0,0
