timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
11582462,11582256,-0.00044258303,0.00049727614,0.0005003599
11617471,11617266,0.0006401138,-0.0008022157,0.0017257914
11648718,11648513,0.0004193304,0.0003010049,0.000111142246
11683724,11683516,8.644884e-05,-0.0005678294,0.0009826255
11714982,11714771,0.0006143371,0.00022470267,0.00078229076
11746233,11746024,-0.00029424054,0.00017084401,0.0007141046
11781237,11781028,9.033801e-05,0.00049861305,0.00044151203
11812505,11812302,0.0003713151,0.00056767714,0.00024852806
11847487,11847284,0.00044337023,-0.0006509082,-0.0004118139
11880026,11879823,-0.0006381041,0.00026765882,0.00091922673
11915002,11914792,0.00048458195,-0.0007055459,-0.000102527905
11946250,11946044,-3.0217074e-05,9.416686e-06,0.00036240736
11977500,11977298,-6.4080974e-05,0.00020262129,0.0010531391
12012510,12012302,0.00042324915,-0.0005628149,-0.00033743327
12043761,12043555,0.0007749978,-0.00052160065,0.0003982828
12078764,12078559,-0.00021626063,-0.0006148646,0.00024183482
12110014,12109812,-0.00017473126,-1.712763e-05,0.0006302625
12145042,12144819,-0.00010109516,0.0006541577,0.0019433539
12177520,12177319,0.0006529196,0.00014462914,0.0010091306
12208781,12208574,-0.00037669644,-5.0915816e-05,0.00062412344
12243788,12243576,-0.00020305341,4.1427087e-05,0.0007538963
12275086,12274881,-0.00034135487,-0.00043950515,0.0010579204
12310037,12309834,0.0004954677,-0.00029311338,0.00088152394
12341288,12341086,-0.00053782924,7.476153e-05,0.0002229796
12376292,12376090,-0.00033213125,-0.0002467684,0.0004425308
12407549,12407343,-0.00039924693,0.0006776796,0.00083205744
12440058,12439847,-0.00019796629,-0.00015404062,0.00021554194
12475063,12474851,-0.00028254453,-0.0006834996,0.0003083867
12506313,12506104,-0.00010514637,-0.00039483802,-0.00078228966
12541311,12541108,0.0005263735,-0.0004571116,0.00051886943
12572563,12572361,0.00026940228,0.00032946613,0.0011435733
12603844,12603637,-0.00019161591,0.00017891427,0.00011816923
12638825,12638618,0.00016695847,4.43139e-05,0.0011877579
12670080,12669872,-0.00059486215,1.008736e-05,0.0009590485
12705107,12704899,-6.9806934e-05,-2.4572148e-05,0.0011788992
12737593,12737379,0.0003231925,8.445711e-05,0.00090634555
12771336,12771133,0.0007263025,0.0002865701,0.0011554484
12803842,12803636,0.00041514158,0.0005217878,0.0013837327
12838853,12838640,-0.00030425432,0.0010573613,-0.00021425342
12870095,12869893,0.00052391103,0.00042048114,0.00045465346
12901348,12901146,0.00015022724,-2.843809e-05,0.000906792
12936352,12936150,-0.0007389372,5.6666173e-05,-2.0869345e-06
12967659,12967456,0.00019921281,-0.00087466446,0.0007992128
13002608,13002407,-4.7073354e-05,-0.0001916542,-7.653993e-05
13033866,13033660,-9.840151e-05,-0.00022479275,0.0008889618
13068871,13068664,-0.00011107988,-0.00031557452,0.00027341064
13101384,13101181,0.00021025643,-0.0001939478,0.0005812222
13132624,13132421,3.669038e-05,-0.0007179935,0.001089801
13167627,13167425,-0.0002570776,-0.00035842988,0.00096422323
13198884,13198678,7.5819003e-06,0.00018042645,-8.649705e-05
13233894,13233682,9.645966e-05,-9.285439e-05,0.00081672746
13265148,13264943,0.0011445329,3.7743778e-06,0.0004147207
13300148,13299939,0.0003216378,0.0003459238,0.00069042004
13331398,13331192,0.0006612431,0.00083494035,0.00082134234
13363907,13363701,0.00067343673,0.00015481227,0.0017041606
13398912,13398700,0.0005882653,-0.0007646294,0.00026044517
13430155,13429953,-0.00031747145,0.00011296993,0.0008871688
13465168,13464959,0.0001827283,0.00021767996,0.0008548585
13496418,13496214,-0.0003267282,7.318723e-05,0.0006394806
13531417,13531214,0.00041334154,0.00021545526,0.0011642751
13562672,13562468,-0.0003159113,-0.00045511025,0.0011616622
13593928,13593720,0.00016784143,0.00020401573,0.0004935718
13628937,13628729,0.0011867823,-0.00039399075,0.0006973181
13661451,13661245,-0.00031013478,9.4302835e-05,0.0007647545
13696434,13696232,0.0010948045,0.0007915532,0.0010506493
13727689,13727485,-0.00011036434,-0.00068550115,0.00055685214
13762749,13762538,0.00033720277,-0.00036263614,0.0014709953
13793977,13793769,-0.000758646,-0.0007789789,0.00035636456
13825200,13824995,0.00034820387,-0.00058714184,0.00059395016
13860213,13860000,-0.00026448752,-0.0005251248,0.0017513069
13891454,13891252,2.231146e-06,0.0002906088,0.0013043927
13923968,13923756,-0.00033354797,-0.0004887984,0.0015898348
13958965,13958760,-0.0001927379,-0.0001275274,0.0010004776
13993968,13993763,0.0013851061,-0.00042048728,0.0006793602
14025230,14025018,7.748721e-05,-4.9219943e-05,0.0010892869
14056477,14056271,-5.289494e-05,0.00031550997,0.0012391851
14091480,14091274,0.00040710322,-4.2324922e-05,0.0020667866
14122729,14122527,0.00033498026,-7.2088355e-05,0.0025739262
14157734,14157531,-0.00018999363,-0.0007643956,0.0022042308
14188991,14188785,-0.00049857673,0.00036034334,0.0016367473
14224002,14223788,0.00013480529,-0.00033624753,0.0020389732
14256497,14256292,0.00018356668,0.0002219617,0.001693033
14287749,14287545,0.0002844124,0.00033265486,0.0019961346
14322751,14322549,0.00046863675,-0.0007130949,0.0028739816
14354024,14353819,-0.00011791238,0.00018427035,0.0021891026
14389012,14388806,-0.00017251611,0.00012739487,0.0019553206
14420262,14420059,-0.00063589186,4.6883142e-05,0.0020995508
14455312,14455105,0.0009600264,-0.0008707415,0.0015408434
14486520,14486317,0.0003342714,-9.1742295e-05,0.0019742588
14519028,14518820,-0.0010245049,-0.0008818165,0.0016467957
14554030,14553824,0.0004732373,-0.000115589006,0.002504154
14585293,14585080,0.0004171991,-0.0002971061,0.0027968371
14620289,14620085,3.392578e-05,-0.00084843324,0.0022362422
14651543,14651334,0.000733693,0.00028941737,0.0022253694
14686541,14686338,0.0006855788,0.00018249438,0.00214058
14717795,14717592,0.00036540246,-0.0003795286,0.0021461283
14749050,14748845,0.00043274925,-0.00039164996,0.0022389556
14785310,14785101,0.0006033105,-0.0011144377,0.0025020582
14816562,14816352,0.0003862152,-0.00014956012,0.0019195791
14851572,14851356,0.0003496708,0.0002573893,0.0021787619
14882810,14882609,0.0006610392,0.00022176752,0.0013360694
14915326,14915114,0.00064721494,-0.00038790685,0.0027053405
14949072,14948866,-8.398644e-05,0.0010190937,0.001502118
14980328,14980120,-5.1741015e-05,-0.00029972842,0.0019575488
15015339,15015124,-0.00041164045,0.0005321731,0.0030438686
15046587,15046384,0.00019421887,0.0001827002,0.0017878846
15081584,15081381,-0.0004252628,0.00013825382,0.0016337911
15114100,15113884,0.00078292366,0.00024046209,0.0031595759
15149101,15148888,0.0005074002,0.0002961623,0.0020574562
15180349,15180143,-0.0003858186,-0.00067295646,0.002191516
15211597,15211395,0.00068174995,5.1283998e-05,0.0017274057
15246601,15246399,-0.0006024465,0.0005167289,0.002691303
15277855,15277652,0.00041881524,-0.0008909224,0.0024044572
15312869,15312666,0.00036396724,0.00057976355,0.0018967714
15344117,15343909,0.00017487479,-0.0009469958,0.0029210094
15379125,15378915,5.051316e-06,1.9261284e-05,0.0014996206
15410374,15410166,0.0005587359,0.00035262774,0.00171936
15442874,15442670,0.00031904632,-0.00018027987,0.0023949582
15477878,15477674,-0.000574716,0.00020462034,0.0020108852
15509138,15508927,0.00094075646,-0.0007787551,0.0017453538
15544162,15543947,0.00043763034,0.00027525853,0.0012673269
15575389,15575184,0.001037611,-0.0009484054,0.0021212716
15610397,15610188,-0.0003508382,2.6913169e-05,0.0014903422
15641643,15641441,0.0006292637,-0.00014700595,0.002096154
15672914,15672696,0.0013684349,-6.728038e-05,0.00220645
15707901,15707698,0.0008488001,4.9464183e-05,0.001875446
15740409,15740206,0.000814596,0.00018627051,0.0021096682
15775420,15775212,-0.00034452553,-0.0007112493,0.0020019216
15806667,15806459,-0.00013015416,-0.0001664525,0.0022417575
15841665,15841463,0.0010751205,-0.00023428744,0.0024464787
15872927,15872717,0.00095061836,-0.0011498492,0.0020884795
15904186,15903973,0.00012501865,1.0339907e-05,0.0021767032
15939179,15938973,0.000432107,0.0001174606,0.001940152
15970432,15970227,0.00051886565,0.000542941,0.0015516503
16005475,16005268,0.00020039703,-0.00031487102,0.001395804
16037940,16037734,-0.00041389596,-0.0010369645,0.000995689
16072952,16072738,0.0012406167,-0.0005875716,0.0019340955
16104200,16103995,0.0011883428,-5.339264e-05,0.0021877699
16135456,16135245,0.000120384044,-0.00042032593,0.002358984
16170455,16170249,0.0010945115,-0.0010380057,0.0026796816
16201708,16201503,0.00021459392,-2.6939804e-05,0.0016952514
16236712,16236508,0.00041711892,-0.00038996598,0.0018363105
16267971,16267763,0.0006100193,-0.0010884997,0.0017145
16302965,16302763,0.0010927109,0.00023026906,0.0018601931
16335476,16335268,-0.00023310652,-0.0002550225,0.0017102154
16366728,16366525,0.0001632369,0.00010504902,0.0030854556
16401726,16401524,0.0009623784,-0.000117223455,0.0018109032
16432981,16432777,9.896936e-05,-0.0004997514,0.0021609652
16467994,16467781,-0.00029440346,-0.00012367583,0.0017090208
16499251,16499034,0.00080667104,-0.00033013258,0.002281763
16534250,16534039,3.8821796e-05,-5.9542617e-05,0.002237525
16565504,16565295,-1.7338367e-05,4.9697366e-05,0.0021825004
16598006,16597795,0.0007677391,0.0007329456,0.001459519
16633001,16632799,-0.00011958697,0.00073133747,0.0018159215
16664258,16664052,0.00032714894,0.00010638421,0.0020267994
16699261,16699056,0.00018746487,-3.17071e-05,0.0018614595
16730518,16730312,0.0009186888,0.00026130778,0.0017099112
16765526,16765315,0.00057480804,-0.00038439673,0.0017922166
16796767,16796564,0.0009065989,4.0904084e-05,0.0019576582
16828023,16827820,0.00038529636,0.00013271118,0.0017837281
16863030,16862824,0.00030322658,-0.00044172944,0.0016592935
16895536,16895329,0.0005265957,0.00012986847,0.0019822216
16930580,16930370,0.00013786045,0.00096276373,0.002140414
16961799,16961596,-9.299432e-05,-0.0008766736,0.0022624244
16996791,16996589,0.002040465,0.000121849436,0.0024901452
17028045,17027842,0.0010760154,0.00014754663,0.0019633
17059310,17059103,0.0012072226,0.0009753416,0.0017885615
