timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
67908596,0.05804858,-0.042000253,-0.21186301
67942373,0.05191149,-0.042000253,-0.21783501
67976102,0.048842944,-0.042000253,-0.21783501
68009823,0.045774397,-0.03904553,-0.21783501
68043577,0.048842944,-0.03904553,-0.22082102
68066224,0.05191149,-0.042000253,-0.22082102
68099875,0.054980036,-0.03904553,-0.22082102
68144881,0.061117124,-0.036090814,-0.21783501
68167382,0.061117124,-0.036090814,-0.22380702
68201133,0.061117124,-0.036090814,-0.226793
68234966,0.061117124,-0.036090814,-0.22082102
68268720,0.061117124,-0.036090814,-0.21484901
68302404,0.061117124,-0.036090814,-0.21783501
68336166,0.061117124,-0.03904553,-0.22082102
68369905,0.05804858,-0.036090814,-0.21186301
68403727,0.054980036,-0.036090814,-0.226793
68437482,0.061117124,-0.03904553,-0.21783501
68459868,0.054980036,-0.03904553,-0.21783501
68504922,0.05804858,-0.036090814,-0.21186301
68538670,0.05804858,-0.036090814,-0.21783501
68561259,0.05804858,-0.036090814,-0.21783501
68594932,0.05804858,-0.036090814,-0.21783501
68628624,0.05804858,-0.036090814,-0.21484901
68662404,0.05804858,-0.036090814,-0.21783501
68696145,0.061117124,-0.03904553,-0.21783501
68729955,0.064185664,-0.03904553,-0.21783501
68763699,0.061117124,-0.03904553,-0.21484901
68797404,0.061117124,-0.03904553,-0.21783501
68831173,0.064185664,-0.03904553,-0.21186301
68864973,0.061117124,-0.03904553,-0.21783501
68898708,0.064185664,-0.03904553,-0.21484901
68932535,0.064185664,-0.03904553,-0.21783501
68966295,0.067254215,-0.042000253,-0.21484901
68999979,0.064185664,-0.03904553,-0.21484901
69022494,0.067254215,-0.03904553,-0.208877
69056302,0.067254215,-0.042000253,-0.21484901
69090049,0.067254215,-0.042000253,-0.208877
69135087,0.067254215,-0.042000253,-0.21186301
69157439,0.07032276,-0.042000253,-0.21783501
69191198,0.0733913,-0.042000253,-0.208877
69225071,0.0733913,-0.03904553,-0.208877
69258827,0.0733913,-0.03904553,-0.21186301
69292570,0.07645985,-0.042000253,-0.21783501
69326229,0.07645985,-0.042000253,-0.208877
69359968,0.07645985,-0.042000253,-0.208877
69393723,0.07952839,-0.042000253,-0.208877
69427589,0.08259694,-0.042000253,-0.208877
69461375,0.07952839,-0.042000253,-0.208877
69494976,0.08259694,-0.03904553,-0.205891
69528721,0.08259694,-0.03904553,-0.205891
69551283,0.07952839,-0.03904553,-0.208877
69585629,0.08259694,-0.03904553,-0.20290501
69619196,0.08259694,-0.03904553,-0.21186301
69652928,0.08566548,-0.03904553,-0.205891
69686653,0.08259694,-0.03904553,-0.205891
69720404,0.08259694,-0.03904553,-0.205891
69754161,0.08259694,-0.03904553,-0.205891
69787939,0.07952839,-0.036090814,-0.205891
69821726,0.08259694,-0.036090814,-0.208877
69855439,0.07952839,-0.03904553,-0.21186301
69889183,0.07952839,-0.03904553,-0.205891
69922930,0.07952839,-0.036090814,-0.208877
69945464,0.08259694,-0.036090814,-0.205891
69990451,0.07952839,-0.036090814,-0.21186301
70024255,0.08259694,-0.0331361,-0.208877
70057969,0.07952839,-0.0331361,-0.21484901
70080445,0.07952839,-0.0331361,-0.205891
70125471,0.07952839,-0.0331361,-0.208877
